Symbol,Name,Risk,Sector,Quote
GOLD,Barrick Gold Corporation,Low,Basic Industries,https://www.nasdaq.com/symbol/gold
RGLD,"Royal Gold, Inc.",Low,Basic Industries,https://www.nasdaq.com/symbol/rgld
STLD,"Steel Dynamics, Inc.",Low,Basic Industries,https://www.nasdaq.com/symbol/stld
SRCL,"Stericycle, Inc.",Low,Basic Industries,https://www.nasdaq.com/symbol/srcl
BCPC,Balchem Corporation,Low,Basic Industries,https://www.nasdaq.com/symbol/bcpc
PAAS,Pan American Silver Corp.,Low,Basic Industries,https://www.nasdaq.com/symbol/paas
MEOH,Methanex Corporation,Low,Basic Industries,https://www.nasdaq.com/symbol/meoh
WDFC,WD-40 Company,Low,Basic Industries,https://www.nasdaq.com/symbol/wdfc
UFPI,"Universal Forest Products, Inc.",Low,Basic Industries,https://www.nasdaq.com/symbol/ufpi
IOSP,Innospec Inc.,Low,Basic Industries,https://www.nasdaq.com/symbol/iosp
SSRM,SSR Mining Inc.,Low,Basic Industries,https://www.nasdaq.com/symbol/ssrm
CVCO,"Cavco Industries, Inc.",Low,Basic Industries,https://www.nasdaq.com/symbol/cvco
AMWD,American Woodmark Corporation,Low,Basic Industries,https://www.nasdaq.com/symbol/amwd
PATK,"Patrick Industries, Inc.",Low,Basic Industries,https://www.nasdaq.com/symbol/patk
PRIM,Primoris Services Corporation,Low,Basic Industries,https://www.nasdaq.com/symbol/prim
CDXS,"Codexis, Inc.",Low,Basic Industries,https://www.nasdaq.com/symbol/cdxs
CSWI,"CSW Industrials, Inc.",Low,Basic Industries,https://www.nasdaq.com/symbol/cswi
MERC,Mercer International Inc.,Medium,Basic Industries,https://www.nasdaq.com/symbol/merc
ROAD,"Construction Partners, Inc.",Medium,Basic Industries,https://www.nasdaq.com/symbol/road
GLDD,Great Lakes Dredge & Dock Corporation,Medium,Basic Industries,https://www.nasdaq.com/symbol/gldd
HCCI,"Heritage-Crystal Clean, Inc.",Medium,Basic Industries,https://www.nasdaq.com/symbol/hcci
CENX,Century Aluminum Company,Medium,Basic Industries,https://www.nasdaq.com/symbol/cenx
MYRG,"MYR Group, Inc.",Medium,Basic Industries,https://www.nasdaq.com/symbol/myrg
AEGN,Aegion Corp,Medium,Basic Industries,https://www.nasdaq.com/symbol/aegn
REGI,"Renewable Energy Group, Inc.",Medium,Basic Industries,https://www.nasdaq.com/symbol/regi
LOOP,"Loop Industries, Inc.",Medium,Basic Industries,https://www.nasdaq.com/symbol/loop
MTRX,Matrix Service Company,Medium,Basic Industries,https://www.nasdaq.com/symbol/mtrx
USLM,"United States Lime & Minerals, Inc.",Medium,Basic Industries,https://www.nasdaq.com/symbol/uslm
GPRE,"Green Plains, Inc.",Medium,Basic Industries,https://www.nasdaq.com/symbol/gpre
GPP,Green Plains Partners LP,Medium,Basic Industries,https://www.nasdaq.com/symbol/gpp
STRL,Sterling Construction Company Inc,Medium,Basic Industries,https://www.nasdaq.com/symbol/strl
AMRS,"Amyris, Inc.",Medium,Basic Industries,https://www.nasdaq.com/symbol/amrs
LEGH,Legacy Housing Corporation,Medium,Basic Industries,https://www.nasdaq.com/symbol/legh
CLXT,"Calyxt, Inc.",Medium,Basic Industries,https://www.nasdaq.com/symbol/clxt
SIC,"Select Interior Concepts, Inc.",High,Basic Industries,https://www.nasdaq.com/symbol/sic
PLPC,Preformed Line Products Company,High,Basic Industries,https://www.nasdaq.com/symbol/plpc
HYGS,Hydrogenics Corporation,High,Basic Industries,https://www.nasdaq.com/symbol/hygs
FSTR,L.B. Foster Company,High,Basic Industries,https://www.nasdaq.com/symbol/fstr
ADES,"Advanced Emissions Solutions, Inc.",High,Basic Industries,https://www.nasdaq.com/symbol/ades
BBCP,"Concrete Pumping Holdings, Inc.",High,Basic Industries,https://www.nasdaq.com/symbol/bbcp
NWPX,Northwest Pipe Company,High,Basic Industries,https://www.nasdaq.com/symbol/nwpx
MPVD,Mountain Province Diamonds Inc.,High,Basic Industries,https://www.nasdaq.com/symbol/mpvd
DYAI,"Dyadic International, Inc.",High,Basic Industries,https://www.nasdaq.com/symbol/dyai
SYNL,Synalloy Corporation,High,Basic Industries,https://www.nasdaq.com/symbol/synl
MBII,"Marrone Bio Innovations, Inc.",High,Basic Industries,https://www.nasdaq.com/symbol/mbii
USAP,"Universal Stainless & Alloy Products, Inc.",High,Basic Industries,https://www.nasdaq.com/symbol/usap
ZEUS,"Olympic Steel, Inc.",High,Basic Industries,https://www.nasdaq.com/symbol/zeus
SND,"Smart Sand, Inc.",High,Basic Industries,https://www.nasdaq.com/symbol/snd
AMRK,"A-Mark Precious Metals, Inc.",High,Basic Industries,https://www.nasdaq.com/symbol/amrk
AQMS,"Aqua Metals, Inc.",High,Basic Industries,https://www.nasdaq.com/symbol/aqms
LMB,"Limbach Holdings, Inc.",High,Basic Industries,https://www.nasdaq.com/symbol/lmb
NEWA,"Newater Technology, Inc.",High,Basic Industries,https://www.nasdaq.com/symbol/newa
SMED,Sharps Compliance Corp.,High,Basic Industries,https://www.nasdaq.com/symbol/smed
OPNT,"Opiant Pharmaceuticals, Inc.",High,Basic Industries,https://www.nasdaq.com/symbol/opnt
CRWS,"Crown Crafts, Inc.",High,Basic Industries,https://www.nasdaq.com/symbol/crws
PESI,"Perma-Fix Environmental Services, Inc.",High,Basic Industries,https://www.nasdaq.com/symbol/pesi
SNES,"SenesTech, Inc.",High,Basic Industries,https://www.nasdaq.com/symbol/snes
GURE,"Gulf Resources, Inc.",High,Basic Industries,https://www.nasdaq.com/symbol/gure
TANH,Tantech Holdings Ltd.,High,Basic Industries,https://www.nasdaq.com/symbol/tanh
EVGN,Evogene Ltd.,High,Basic Industries,https://www.nasdaq.com/symbol/evgn
CHNR,"China Natural Resources, Inc.",High,Basic Industries,https://www.nasdaq.com/symbol/chnr
APWC,Asia Pacific Wire & Cable Corporation Limited,High,Basic Industries,https://www.nasdaq.com/symbol/apwc
GEVO,"Gevo, Inc.",High,Basic Industries,https://www.nasdaq.com/symbol/gevo
OCC,Optical Cable Corporation,High,Basic Industries,https://www.nasdaq.com/symbol/occ
PEIX,"Pacific Ethanol, Inc.",High,Basic Industries,https://www.nasdaq.com/symbol/peix
HHT,"Huitao Technology Co., Ltd.",High,Basic Industries,https://www.nasdaq.com/symbol/hht
AMTX,"Aemetis, Inc",High,Basic Industries,https://www.nasdaq.com/symbol/amtx
OSN,"Ossen Innovation Co., Ltd.",High,Basic Industries,https://www.nasdaq.com/symbol/osn
RKDA,"Arcadia Biosciences, Inc.",High,Basic Industries,https://www.nasdaq.com/symbol/rkda
CTIB,CTI Industries Corporation,High,Basic Industries,https://www.nasdaq.com/symbol/ctib
MYT,"Urban Tea, Inc.",High,Basic Industries,https://www.nasdaq.com/symbol/myt
YTEN,"Yield10 Bioscience, Inc.",High,Basic Industries,https://www.nasdaq.com/symbol/yten
ATIS,Attis Industries Inc.,High,Basic Industries,https://www.nasdaq.com/symbol/atis
WWR,"Westwater Resources, Inc.",High,Basic Industries,https://www.nasdaq.com/symbol/wwr
SES,"Synthesis Energy Systems, Inc.",High,Basic Industries,https://www.nasdaq.com/symbol/ses
ILMN,"Illumina, Inc.",Low,Capital Goods,https://www.nasdaq.com/symbol/ilmn
TSLA,"Tesla, Inc.",Low,Capital Goods,https://www.nasdaq.com/symbol/tsla
PCAR,PACCAR Inc.,Low,Capital Goods,https://www.nasdaq.com/symbol/pcar
KLAC,KLA Corporation,Low,Capital Goods,https://www.nasdaq.com/symbol/klac
IEP,Icahn Enterprises L.P.,Low,Capital Goods,https://www.nasdaq.com/symbol/iep
GRMN,Garmin Ltd.,Low,Capital Goods,https://www.nasdaq.com/symbol/grmn
TRMB,Trimble Inc.,Low,Capital Goods,https://www.nasdaq.com/symbol/trmb
OLED,Universal Display Corporation,Low,Capital Goods,https://www.nasdaq.com/symbol/oled
TER,"Teradyne, Inc.",Low,Capital Goods,https://www.nasdaq.com/symbol/ter
NDSN,Nordson Corporation,Low,Capital Goods,https://www.nasdaq.com/symbol/ndsn
CGNX,Cognex Corporation,Low,Capital Goods,https://www.nasdaq.com/symbol/cgnx
BRKR,Bruker Corporation,Low,Capital Goods,https://www.nasdaq.com/symbol/brkr
ESLT,Elbit Systems Ltd.,Low,Capital Goods,https://www.nasdaq.com/symbol/eslt
GNTX,Gentex Corporation,Low,Capital Goods,https://www.nasdaq.com/symbol/gntx
